Tên tác giả,Tên tác phẩm,Năm sáng tác,Tên tác giả ,Thể loại,Khu vực
Nguyễn Khoa Điềm,Đất nước,1971,Nguyễn Khoa Điềm,thơ,Việt Nam
Thanh Hải,Mùa xuân nho nhỏ,1980,Thanh Hải,thơ,Việt Nam
Y Phương,Nói với con,1980,Y Phương,thơ,Việt Nam
Bằng Việt,Bếp lửa,1963,Bằng Việt,thơ,Việt Nam
Chính Hữu,Đồng chí,1948,Chính Hữu,thơ,Việt Nam
Phạm Tiến Duật,Bài thơ về tiểu đội xe không kính,1969,Phạm Tiến Duật,thơ,Việt Nam
Huy Cận,Đoàn thuyền đánh cá,1958,Huy Cận,thơ,Việt Nam
Viễn Phương,Viếng lăng Bác,1976,Viễn Phương,thơ,Việt Nam
Nguyễn Duy,Ánh trăng,1978,Nguyễn Duy,thơ,Việt Nam
Hữu Thỉnh,Sang thu,1977,Hữu Thỉnh,thơ,Việt Nam
Chế Lan Viên,Tiếng hát con tàu,1960,Chế Lan Viên,thơ,Việt Nam
Edgar Allan Poe,The Raven,1845,Edgar Allan Poe,thơ,Nước ngoài
T. S. Eliot,The Waste Land,1922,T. S. Eliot,thơ,Nước ngoài
Percy Bysshe Shelley,Ozymandias,1818,Percy Bysshe Shelley,thơ,Nước ngoài
John Keats,Ode to a Nightingale,1819,John Keats,thơ,Nước ngoài
Walt Whitman,Leaves of Grass,1855,Walt Whitman,thơ,Nước ngoài
Nguyễn Huy Tưởng,Vũ Như Tô,1941,Nguyễn Huy Tưởng,kịch,Việt Nam
Lưu Quang Vũ,"Hồn Trương Ba, da hàng thịt",1981–1984,Lưu Quang Vũ,kịch,Việt Nam
Lưu Quang Vũ,Tôi và chúng ta,1984,Lưu Quang Vũ,kịch,Việt Nam
Nguyễn Huy Tưởng,Bắc Sơn,1946,Nguyễn Huy Tưởng,kịch,Việt Nam
Nguyễn Huy Tưởng,Những người ở lại,1948,Nguyễn Huy Tưởng,kịch,Việt Nam
William Shakespeare,Romeo and Juliet,1597,William Shakespeare,kịch,Nước ngoài
William Shakespeare,Hamlet,1601,William Shakespeare,kịch,Nước ngoài
William Shakespeare,Othello,1604,William Shakespeare,kịch,Nước ngoài
William Shakespeare,King Lear,1606,William Shakespeare,kịch,Nước ngoài
William Shakespeare,Macbeth,1606,William Shakespeare,kịch,Nước ngoài
William Shakespeare,A Midsummer Night's Dream,1595,William Shakespeare,kịch,Nước ngoài
William Shakespeare,The Tempest,1611,William Shakespeare,kịch,Nước ngoài
William Shakespeare,The Merchant of Venice,1598,William Shakespeare,kịch,Nước ngoài
Molière,Tartuffe,1664,Molière,kịch,Nước ngoài
Molière,The Misanthrope,1666,Molière,kịch,Nước ngoài
Oscar Wilde,The Importance of Being Earnest,1895,Oscar Wilde,kịch,Nước ngoài
Henrik Ibsen,A Doll's House,1879,Henrik Ibsen,kịch,Nước ngoài
Henrik Ibsen,Hedda Gabler,1890,Henrik Ibsen,kịch,Nước ngoài
Anton Chekhov,The Seagull,1896,Anton Chekhov,kịch,Nước ngoài
Anton Chekhov,The Cherry Orchard,1904,Anton Chekhov,kịch,Nước ngoài
Anton Chekhov,Uncle Vanya,1899,Anton Chekhov,kịch,Nước ngoài
Samuel Beckett,Waiting for Godot,1953,Samuel Beckett,kịch,Nước ngoài
Arthur Miller,Death of a Salesman,1949,Arthur Miller,kịch,Nước ngoài
Tennessee Williams,The Glass Menagerie,1944,Tennessee Williams,kịch,Nước ngoài
Eugene O'Neill,Long Day's Journey into Night,1956,Eugene O'Neill,kịch,Nước ngoài
